show_prefix,brock_description,auto_palette_rgb
univ25,2025 Universe — grey/white/blue globe imagery + UNIVERSE lettering (space scene),"(103, 120, 173); (170, 191, 230); (17, 17, 21); (50, 45, 83)"
jrusa25,2025 Junior USA — red/white/blue 'explosion' graphic,"(102, 142, 215); (41, 41, 43); (212, 214, 208); (184, 160, 119)"
jrusa26,2026 Junior USA — red/white/blue 'explosion' graphic (same promoter styling),"(91, 86, 111); (207, 195, 201); (58, 42, 49); (190, 108, 81)"
usa25,2025 USA Championships — blue/grey with white outline lettering,"(33, 24, 28); (131, 154, 214); (69, 97, 157); (207, 224, 242)"
jrnats25,2025 Junior Nationals — black with US-silhouette outline + gold lettering,"(5, 6, 9); (59, 169, 221); (76, 67, 82); (217, 228, 234)"
jrnats26,2026 Junior Nationals — black/blue LED with US-silhouette + gold lettering,"(5, 5, 5); (43, 150, 201); (160, 99, 129); (23, 67, 98)"
nats25,"2025 Nationals — black background, grey/white name logo","(31, 35, 52); (70, 103, 181); (5, 5, 6); (175, 186, 227)"
noram25,2025 North American — white/grey/blue photographic scene,"(32, 46, 64); (182, 187, 198); (20, 24, 30); (129, 128, 135)"
